feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing14_rms_Ay,255,225,555,342,344.25
swing8_rms_Gz,160,538,506,175,344.75
swing9_std_Gy,217,340,659,164,345.0
swing23_median_Gy,432,466,260,223,345.25
swing10_median_Gy,286,302,93,706,346.75
swing18_std_Ax,487,244,282,376,347.25
swing26_median_Ay,482,451,180,281,348.5
swing18_max_Gx,29,573,447,349,349.5
swing15_mean_Ax,415,120,648,215,349.5
swing24_min_Ay,336,196,291,584,351.75
swing13_min_Az,394,396,253,366,352.25
swing9_std_Gx,519,156,413,323,352.75
swing14_median_Gz,15,131,473,799,354.5
swing5_median_Gz,396,172,107,749,356.0
swing22_median_Ay,504,265,239,423,357.75
swing26_min_Az,297,478,418,240,358.25
swing17_rms_Gz,141,479,289,526,358.75
swing10_rms_Gx,303,139,569,426,359.25
swing12_mean_Ay,177,349,284,631,360.25
swing24_std_Ax,547,263,341,292,360.75
swing16_median_Gx,44,634,454,316,362.0
swing20_min_Az,315,559,171,406,362.75
swing26_std_Gx,573,293,400,187,363.25
swing19_min_Az,271,434,232,518,363.75
swing5_median_Gy,239,419,470,330,364.5
swing12_min_Gy,473,570,222,200,366.25
swing11_rms_Gx,395,428,384,259,366.5
swing20_median_Ay,145,356,516,454,367.75
swing20_min_Ax,98,534,87,752,367.75
swing16_min_Ay,116,339,821,195,367.75
swing25_std_Gy,49,394,532,497,368.0
swing16_min_Ax,244,198,252,783,369.25
swing26_rms_Gz,27,474,419,561,370.25
swing27_std_Ay,109,743,336,298,371.5
swing27_rms_Gz,587,636,221,54,374.5
swing7_rms_Gx,405,149,512,433,374.75
swing26_rms_Gx,571,235,412,283,375.25
swing16_rms_Gz,416,695,354,39,376.0
swing23_mean_Gx,292,413,582,218,376.25
swing19_median_Ay,800,480,135,92,376.75
swing11_min_Ax,408,448,578,74,377.0
swing23_mean_Gy,366,493,536,115,377.5
swing18_std_Gz,187,790,426,113,379.0
swing6_max_Az,88,391,244,794,379.25
swing13_rms_Gx,727,158,246,387,379.5
swing7_rms_Az,448,470,496,108,380.5
swing24_rms_Ay,503,249,461,313,381.5
swing16_min_Az,273,489,300,469,382.75
swing15_std_Gx,704,232,347,257,385.0
swing14_std_Az,697,110,261,475,385.75
swing6_min_Ax,565,365,156,459,386.25
swing9_min_Az,471,270,624,181,386.5
swing11_median_Ax,108,665,331,444,387.0
swing11_median_Ay,516,584,370,80,387.5
swing27_rms_Gy,254,555,196,548,388.25
swing5_rms_Gx,417,620,147,370,388.5
swing10_mean_Ax,756,128,159,511,388.5
swing8_std_Gx,541,416,493,105,388.75
swing26_median_Gy,438,226,505,386,388.75
swing26_min_Ax,280,616,128,534,389.5
swing14_std_Ay,391,633,372,163,389.75
swing7_median_Ax,243,749,321,247,390.0
swing26_mean_Gy,367,452,198,544,390.25
swing24_mean_Ay,556,190,457,359,390.5
swing11_rms_Az,450,255,596,263,391.0
swing25_max_Gx,33,456,476,600,391.25
swing25_mean_Gy,397,315,389,466,391.75
swing14_min_Ax,199,508,210,652,392.25
swing17_min_Ay,215,457,767,141,395.0
swing24_mean_Gy,622,469,301,189,395.25
swing14_min_Az,435,460,459,228,395.5
swing22_rms_Az,400,335,367,483,396.25
swing15_min_Gy,488,482,314,304,397.0
swing6_std_Gx,364,240,319,665,397.0
swing24_median_Ax,149,520,334,586,397.25
swing18_min_Az,427,372,365,425,397.25
swing19_min_Gx,32,764,492,302,397.5
swing20_median_Gy,184,475,675,260,398.5
swing26_std_Gz,401,595,296,306,399.5
swing19_std_Gx,477,607,312,203,399.75
swing5_min_Az,498,370,451,291,402.5
swing19_rms_Gy,132,472,280,730,403.5
swing10_median_Ay,814,355,429,19,404.25
swing19_min_Gy,500,440,356,327,405.75
swing16_max_Az,441,421,310,451,405.75
swing18_median_Gy,513,766,231,116,406.5
swing5_mean_Ax,282,194,348,805,407.25
swing25_rms_Gy,196,442,393,598,407.25
swing22_std_Ay,514,410,351,355,407.5
swing19_std_Ax,327,216,352,741,409.0
swing25_mean_Ax,411,205,405,615,409.0
swing14_rms_Gx,418,230,798,191,409.25
swing23_min_Gy,278,295,477,590,410.0
swing24_mean_Az,540,104,554,443,410.25
swing8_mean_Gy,412,476,500,254,410.5
swing17_max_Az,483,324,322,513,410.5
swing14_median_Ax,121,517,557,447,410.5
swing13_median_Gx,272,353,524,494,410.75
swing18_median_Gx,456,192,695,309,413.0
swing21_std_Gy,236,598,489,329,413.0
swing19_std_Gy,293,275,357,733,414.5
swing10_max_Az,323,446,646,245,415.0
swing18_min_Ay,146,378,360,777,415.25
swing20_mean_Gy,176,425,290,774,416.25
swing25_mean_Az,608,111,606,341,416.5
swing8_mean_Gx,537,409,498,224,417.0
swing11_rms_Ax,810,37,380,442,417.25
swing11_std_Gx,464,540,595,71,417.5
swing7_rms_Gy,437,530,225,478,417.5
swing12_median_Ax,171,664,219,632,421.5
swing14_min_Ay,718,331,556,85,422.5
swing8_rms_Gx,210,312,490,679,422.75
swing5_std_Ax,588,438,243,422,422.75
swing21_mean_Ax,480,108,335,769,423.0
swing10_mean_Gy,827,258,568,43,424.0
swing10_max_Gx,268,280,647,501,424.0
swing5_rms_Gy,601,427,218,455,425.25
swing9_median_Gx,313,266,655,471,426.25
swing19_min_Ax,343,467,164,740,428.5
swing17_std_Ay,369,600,535,236,435.0
swing24_median_Gz,384,357,408,593,435.5
swing15_median_Gy,284,744,359,358,436.25
swing27_std_Gy,592,433,382,339,436.5
swing13_min_Ay,93,385,803,470,437.75
swing26_min_Ay,447,652,160,492,437.75
swing15_min_Az,406,721,216,410,438.25
swing8_min_Ay,545,284,484,446,439.75
swing22_mean_Ax,242,219,543,755,439.75
swing27_median_Ax,518,523,303,420,441.0
swing12_rms_Gx,688,269,537,273,441.75
swing10_min_Ax,374,757,270,369,442.5
swing21_rms_Gy,454,722,355,241,443.0
swing26_min_Gx,134,786,441,412,443.25
swing5_max_Az,517,654,422,180,443.25
swing20_std_Gz,763,553,317,143,444.0
swing14_median_Ay,479,490,308,499,444.0
swing11_mean_Gx,494,564,445,278,445.25
swing10_rms_Az,821,162,572,227,445.5
swing7_std_Ay,148,661,286,688,445.75
swing21_std_Ay,119,380,520,767,446.5
swing7_median_Ay,644,327,328,489,447.0
swing15_mean_Ay,126,323,544,796,447.25
swing21_mean_Gy,744,447,453,152,449.0
swing17_std_Gy,142,424,421,813,450.0
swing24_median_Gy,414,422,398,572,451.5
swing19_mean_Gy,792,319,440,255,451.5
swing25_std_Gx,476,404,529,397,451.5
swing13_min_Gy,319,577,691,220,451.75
swing18_rms_Ay,687,363,581,177,452.0
swing25_min_Ax,360,465,373,613,452.75
swing27_min_Ax,96,638,521,558,453.25
swing5_mean_Ay,512,169,820,312,453.25
swing20_std_Gx,339,264,437,775,453.75
swing9_min_Gy,291,526,658,340,453.75
swing14_median_Gx,444,408,465,502,454.75
swing14_rms_Az,700,214,256,650,455.0
swing22_mean_Ay,779,390,238,414,455.25
swing21_median_Gx,341,462,258,761,455.5
swing25_median_Ay,281,483,455,604,455.75
swing8_std_Ax,553,195,388,687,455.75
swing25_rms_Ay,481,519,525,301,456.5
swing7_min_Gy,363,686,378,404,457.75
swing24_std_Ay,413,648,250,525,459.0
swing27_min_Az,370,488,610,371,459.75
swing8_min_Gx,544,572,305,424,461.25
swing24_median_Ay,535,274,460,583,463.0
swing17_min_Gy,194,657,192,812,463.75
swing19_median_Gx,120,640,361,734,463.75
swing17_min_Az,484,589,639,146,464.5
swing10_std_Gz,71,710,645,437,465.75
swing7_std_Gy,354,481,694,338,466.75
swing11_mean_Ay,388,367,705,408,467.0
swing5_std_Ay,446,583,307,533,467.25
swing6_rms_Gy,258,501,410,702,467.75
swing5_std_Gy,599,405,369,498,467.75
swing21_min_Ay,307,602,491,476,469.0
swing27_rms_Gx,490,400,599,388,469.25
swing22_rms_Gy,765,502,438,174,469.75
swing8_min_Ax,308,495,390,686,469.75
swing5_rms_Gz,376,379,375,750,470.0
swing8_std_Gy,769,471,425,217,470.5
swing27_max_Gy,332,745,255,550,470.5
swing9_rms_Gz,754,492,561,76,470.75
swing23_mean_Ay,538,351,430,569,472.0
swing22_median_Gx,478,397,485,529,472.25
swing15_max_Az,707,606,472,104,472.25
swing18_std_Gx,681,514,563,135,473.25
swing19_rms_Gz,166,307,670,751,473.5
swing17_mean_Az,660,71,346,818,473.75
swing11_median_Gz,739,300,586,274,474.75
swing9_std_Gz,462,531,193,717,475.75
swing10_mean_Ay,452,222,733,496,475.75
swing18_min_Ax,671,704,187,343,476.25
swing15_max_Ax,279,185,649,797,477.5
swing23_median_Ay,460,535,611,305,477.75
swing23_max_Gy,130,680,751,351,478.0
swing27_min_Ay,602,384,618,310,478.5
swing25_median_Gy,628,542,608,139,479.25
swing23_median_Gx,147,754,486,531,479.5
swing20_median_Ax,259,731,784,144,479.5
swing14_min_Gy,213,783,204,725,481.25
swing7_std_Gx,382,392,462,694,482.5
swing11_std_Az,791,112,579,449,482.75
swing7_max_Gx,398,326,515,693,483.0
swing24_rms_Gx,305,246,812,576,484.75
swing27_std_Gx,421,499,727,293,485.0
swing6_std_Gz,105,423,704,708,485.0
swing7_mean_Ay,645,330,494,479,487.0
swing21_max_Gx,35,377,775,762,487.25
swing21_mean_Gx,198,623,777,356,488.5
swing20_max_Gx,816,505,364,270,488.75
swing23_max_Az,18,819,763,360,490.0
swing27_mean_Gz,317,551,588,504,490.0
swing20_rms_Ay,301,393,502,766,490.5
swing9_min_Gx,445,550,643,325,490.75
swing9_mean_Ax,778,154,333,698,490.75
swing27_mean_Gx,333,767,324,552,494.0
swing27_min_Gy,443,734,468,332,494.25
swing26_median_Gx,404,537,497,543,495.25
swing22_median_Ax,113,631,621,620,496.25
swing18_std_Gy,457,445,337,747,496.5
swing6_min_Az,577,597,379,439,498.0
swing18_median_Ay,509,637,330,519,498.75
swing10_rms_Gy,423,666,711,198,499.5
swing9_min_Ax,780,459,628,131,499.5
swing7_std_Gz,530,647,732,94,500.75
swing22_max_Az,773,209,467,557,501.5
swing22_rms_Gx,768,259,449,530,501.5
swing17_min_Ax,666,346,172,823,501.75
swing24_min_Az,511,373,552,579,503.75
swing27_std_Ax,186,653,616,560,503.75
swing26_min_Gz,567,708,510,231,504.0
swing11_min_Az,794,736,189,300,504.75
swing24_mean_Gx,274,347,829,577,506.75
swing26_std_Ay,290,581,619,541,507.75
swing20_rms_Gy,785,485,299,463,508.0
swing11_std_Ay,28,772,562,674,509.0
swing26_rms_Gy,470,742,428,398,509.5
swing26_rms_Ay,579,522,573,364,509.5
swing16_std_Gx,234,358,642,806,510.0
swing7_median_Gy,424,662,265,691,510.5
swing16_median_Ay,732,497,458,363,512.5
swing7_median_Gx,585,491,514,461,512.75
swing13_max_Az,667,426,689,269,512.75
swing21_max_Az,749,239,778,288,513.5
swing25_median_Gz,630,321,589,516,514.0
swing9_rms_Gx,525,153,660,720,514.5
swing8_mean_Ay,548,609,501,403,515.25
swing15_rms_Gy,155,658,463,789,516.25
swing6_std_Gy,523,486,724,336,517.25
swing19_median_Gy,53,498,788,731,517.5
swing8_max_Az,534,368,487,682,517.75
swing16_std_Ax,359,267,661,784,517.75
swing12_std_Ax,528,329,585,633,518.75
swing6_rms_Ay,575,561,566,375,519.25
swing22_std_Gy,469,629,446,535,519.75
swing12_min_Gx,349,567,539,624,519.75
swing27_rms_Ay,420,594,518,555,521.75
swing14_std_Gx,385,429,551,724,522.25
swing26_min_Gy,449,719,439,484,522.75
swing10_rms_Gz,507,443,708,438,524.0
swing26_std_Ax,606,455,443,594,524.5
swing17_rms_Gy,650,671,350,427,524.5
swing13_min_Ax,368,395,667,669,524.75
swing13_mean_Gy,465,436,541,661,525.75
swing17_std_Gx,648,401,237,817,525.75
swing6_median_Gy,629,641,214,621,526.25
swing25_mean_Ay,612,287,603,609,527.75
swing9_max_Az,261,615,513,723,528.0
swing8_median_Gx,371,717,635,394,529.25
