feature,rf_rank,xgb_rank,mean_rank
segment14_Ay_min,717,579,648.0
segment25_Ay_mean,605,692,648.5
segment3_Gy_max,791,507,649.0
segment9_Gz_max,803,495,649.0
segment15_Gx_mean,712,586,649.0
segment17_Gx_min,802,498,650.0
segment15_Gy_max,707,594,650.5
segment19_Gx_min,683,618,650.5
segment16_Ay_std,741,563,652.0
segment18_Gx_min,680,626,653.0
segment1_Gy_median,641,666,653.5
segment2_Gy_mean,644,664,654.0
segment13_Gz_max,736,572,654.0
segment23_Az_max,505,805,655.0
segment6_Gx_min,760,551,655.5
segment8_Gz_max,777,534,655.5
segment11_Ay_min,573,739,656.0
segment15_Gx_min,724,588,656.0
segment25_Ay_median,621,693,657.0
segment7_Gx_min,759,556,657.5
segment3_Gz_max,749,567,658.0
segment1_Az_max,542,774,658.0
segment18_Ay_std,702,620,661.0
segment19_Gz_median,617,713,665.0
segment11_Gx_max,533,798,665.5
segment6_Gz_max,811,521,666.0
segment1_Gz_min,658,674,666.0
segment20_Gx_mean,635,700,667.5
segment5_Gx_mean,691,644,667.5
segment0_Gy_std,615,721,668.0
segment1_Az_min,561,778,669.5
segment5_Gy_std,568,771,669.5
segment2_Gz_min,727,613,670.0
segment0_Gy_median,647,694,670.5
segment13_Gz_min,774,571,672.5
segment2_Ay_min,662,685,673.5
segment14_Gz_min,718,629,673.5
segment26_Gx_median,666,687,676.5
segment4_Gy_max,775,580,677.5
segment15_Gz_max,756,599,677.5
segment12_Gy_std,602,753,677.5
segment21_Gy_std,677,679,678.0
segment22_Gx_max,679,678,678.5
segment2_Gx_max,657,701,679.0
segment13_Gy_std,730,645,687.5
segment15_Gz_min,781,598,689.5
segment21_Gy_min,731,649,690.0
segment20_Gy_min,655,726,690.5
segment21_Gz_std,708,673,690.5
segment14_Gy_max,758,625,691.5
segment22_Gx_min,711,676,693.5
segment17_Gz_max,786,604,695.0
segment13_Ay_std,630,762,696.0
segment18_Gz_max,788,606,697.0
segment18_Gy_max,771,624,697.5
segment18_Gz_min,772,623,697.5
segment16_Gx_min,757,638,697.5
segment25_Gy_mean,695,702,698.5
segment25_Gz_min,676,722,699.0
segment26_Gy_max,687,711,699.0
segment5_Gy_min,629,770,699.5
segment20_Ay_min,740,660,700.0
segment21_Gz_min,729,672,700.5
segment5_Ay_min,646,759,702.5
segment0_Gy_max,700,705,702.5
segment24_Az_min,627,779,703.0
segment12_Gx_min,761,646,703.5
segment26_Gx_max,748,667,707.5
segment24_Gx_mean,640,782,711.0
segment19_Gy_std,625,799,712.0
segment26_Gx_min,739,686,712.5
segment25_Gz_max,778,653,715.5
